NCES,Low,High , Name, District, County, Address, City, State, ZIP, Phone,Locale,Charter,Students,Teachers,Ratio,Free ,Reduced , Certified,Type,Status
390442601193,PK,5,Admiral King Elementary School,Lorain City,Lorain County,720 Washington Ave,Lorain,OH,44052,(440)245-6315,Suburb: Midsize,No,239,17.00,14.06,–,–,183,Regular,Open
390447901642,KG,3,Adrian Elementary School,South Euclid-Lyndhurst City,Cuyahoga County,1071 Homestead Rd,South Euclid,OH,44121,(216)691-2170,Suburb: Large,No,289,17.15,16.85,151,22,–,Regular,Open
390449010882,9,12,Aerospace & Natural Science Academy of Toledo,Toledo City,†,5561 Elmer Dr,Toledo,OH,43615,(419)671-1700,N,No,†,†,†,†,†,†,Regular,New
390437504417,6,12,Aiken New Tech High School,Cincinnati Public Schools,Hamilton County,5641 Belmont Ave,Cincinnati,OH,45224,(513)363-6760,City: Large,No,"1,219",70.82,17.21,–,–,706,Regular,Open
390437105973,KG,6,AIM Academy @ Belden,Canton City,Stark County,2115 Georgetown Rd NE,Canton,OH,44704,(330)456-3167,City: Small,No,274,20.48,13.38,–,–,199,Regular,Open
390434805266,10,12,Akron Alternative Academy,Akron City,Summit County,65 Steiner Ave,Akron,OH,44301,(330)761-3262,City: Midsize,No,120,11.00,10.91,–,–,62,Regular,Open
390163106180,9,12,Akron Career Tech High School,Akron Career Tech High School,Summit County,1115 S Main St,Akron,OH,44301,(234)888-6050,City: Midsize,Yes,64,8.00,8.00,–,–,22,Regular,Open
390434805431,9,12,Akron Early College High School,Akron City,Summit County,225 S Main St,Akron,OH,44325,(330)761-1661,City: Midsize,No,377,13.00,29.00,–,–,101,Regular,Open
390150305726,KG,8,Akron Preparatory School,Akron Preparatory School,Summit County,1200 E Market St Ste 3360,Akron,OH,44305,(330)247-6232,City: Midsize,Yes,344,12.00,28.67,–,–,234,Regular,Open
390434805731,9,12,Akron STEM High School,Akron City,Summit County,123 S Forge St,Akron,OH,44308,(330)761-1661,City: Midsize,No,324,22.50,14.40,–,–,78,Regular,Open
390142805651,6,8,Akros Middle School,Akros Middle School,Summit County,265 Park St,Akron,OH,44304,(330)374-6704,City: Midsize,Yes,141,12.40,11.37,–,–,65,Regular,Open
391005010868,9,11,AkroTech High School,AkroTech High School,†,274 Park St.,Akron,OH,44304,(330)535-4581,N,Yes,†,†,†,†,†,†,Regular,New
390437800462,PK,8,Albert Bushnell Hart,Cleveland Municipal,Cuyahoga County,3900 E 75th St,Cleveland,OH,44105,(216)838-4400,City: Large,No,245,14.00,17.50,–,–,229,Regular,Open
390470204364,KG,5,Albert Chapman Elementary School,Dublin City,Franklin County,8450 Sawmill Rd,Powell,OH,43065,(614)761-5864,City: Large,No,532,28.00,19.00,51,11,–,Regular,Open
390153905804,KG,12,Albert Einstein Academy for Letters Arts and Sciences-Ohio,Albert Einstein Academy for Letters Arts and Sciences-Ohio,Cuyahoga County,6100 Oak Tree Blvd Ste 100,Independence,OH,44131,(440)471-4982,Suburb: Large,Yes,390,40.00,9.75,–,–,3,Regular,Open
390450404565,KG,5,Alcott Elementary School,Westerville City,Delaware County,7117 Mount Royal Ave,Westerville,OH,43082,(614)797-7350,Suburb: Large,No,524,27.80,18.85,74,8,–,Regular,Open
390459002377,PK,5,Alexander Elementary School,Alexander Local,Athens County,6105 School Road,Albany,OH,45710,(740)698-8831,Rural: Distant,No,693,42.00,16.50,–,–,3,Regular,Open
390459002378,6,12,Alexander Jr. / Sr. High School,Alexander Local,Athens County,6125 School Rd,Albany,OH,45710,(740)698-8831,Rural: Distant,No,731,52.83,13.84,548,62,–,Regular,Open
390437800434,KG,8,Alfred Benesch,Cleveland Municipal,Cuyahoga County,5393 Quincy Ave,Cleveland,OH,44104,(216)838-1300,City: Large,No,236,18.00,13.11,–,–,3,Regular,Open
390457502332,PK,4,Allen East Elementary School,Allen East Local,Allen County,9105 Harding Hwy,Harrod,OH,45850,(419)648-3333,Rural: Fringe,No,459,24.00,19.13,–,–,3,Regular,Open
390457502331,9,12,Allen East High School,Allen East Local,Allen County,9105 Harding Hwy,Harrod,OH,45850,(419)648-3333,Rural: Fringe,No,276,17.00,16.24,192,81,–,Regular,Open
390457505882,5,8,Allen East Middle School,Allen East Local,Allen County,9105 Harding Hwy,Harrod,OH,45850,(419)648-3333,Rural: Fringe,No,330,16.00,20.63,–,–,3,Regular,Open
390013004180,KG,8,Alliance Academy of Cincinnati,Alliance Academy of Cincinnati,Hamilton County,1712 Duck Creek Rd,Cincinnati,OH,45207,(513)751-5555,City: Large,Yes,465,24.14,19.26,–,–,394,Regular,Open
390008303762,KG,8,Alliance Community Schools Inc. dba Dayton Leadership Acade,Alliance Community Schools Inc. dba Dayton Leadership Acade,Montgomery County,1416 W Riverview Ave,Dayton,OH,45402,(937)567-9426,City: Midsize,Yes,477,25.81,18.48,–,–,309,Regular,Open
390434900069,KG,1,Alliance Early Learning School,Alliance City,Stark County,285 W OXFORD ST,Alliance,OH,44601,(330)829-2266,Town: Fringe,No,624,24.83,25.13,–,–,191,Regular,Open
390434904191,2,3,Alliance Elementary School at Rockhill,Alliance City,Stark County,2400 S Rockhill Ave,Alliance,OH,44601,(330)829-2260,Town: Fringe,No,407,20.83,19.54,–,–,180,Regular,Open
390434900064,9,12,Alliance High School,Alliance City,Stark County,400 Glamorgan St,Alliance,OH,44601,(330)829-2245,Town: Fringe,No,973,50.00,19.46,–,–,409,Regular,Open
390434904190,4,5,Alliance Intermediate School @ Northside,Alliance City,Stark County,701 Johnson Ave,Alliance,OH,44601,(330)829-2269,Town: Fringe,No,381,21.34,17.85,–,–,252,Regular,Open
390434904189,6,8,Alliance Middle School,Alliance City,Stark County,3205 S Union Ave,Alliance,OH,44601,(330)829-2254,Town: Fringe,No,602,36.50,16.49,–,–,351,Regular,Open
390434910879,PK,PK,Alliance Preschool,Alliance City,†,1490 Parkway Blvd,Alliance,OH,44601,(330)821-2100,N,No,†,†,†,†,†,†,Regular,New
390437800417,PK,8,Almira,Cleveland Municipal,Cuyahoga County,3375 W 99th St,Cleveland,OH,44102,(216)838-6150,City: Large,No,496,26.00,19.08,–,–,493,Regular,Open
390438000582,PK,3,Alpine Elementary School,Columbus City Schools District,Franklin County,1590 Alpine Dr,Columbus,OH,43229,(614)365-5359,City: Large,No,307,17.00,18.06,–,–,141,Regular,Open
390020304727,KG,12,Alternative Education Academy,Alternative Education Academy,Cuyahoga County,4 Summit Park Dr Ste 350,Independence,OH,44131,(866)509-3099,Suburb: Large,Yes,"5,783",198.50,29.13,–,–,3,Regular,Open
390470104609,KG,2,Alton Darby Elementary School,Hilliard City,Franklin County,2730 Alton Darby Creek Rd,Hilliard,OH,43026,(614)921-5000,Suburb: Large,No,511,27.50,18.58,94,13,–,Regular,Open
390448001654,PK,4,Alton Hall Elementary School,South-Western City,Franklin County,982 Alton Rd,Galloway,OH,43119,(614)801-8000,Rural: Fringe,No,512,25.00,20.48,237,39,–,Regular,Open
390467600646,PK,5,Alum Creek Elementary School,Olentangy Local,Delaware County,2515 Parklawn Dr,Lewis Center,OH,43035,(740)657-4600,Suburb: Large,No,692,31.93,21.67,71,20,–,Regular,Open
390444001317,PK,5,Amanda Elementary School,Middletown City,Butler County,1300 Oxford State Rd,Middletown,OH,45044,(513)420-4542,Suburb: Small,No,374,26.00,14.38,–,–,295,Regular,Open
390468402671,3,5,Amanda-Clearcreek Elementary School,Amanda-Clearcreek Local,Fairfield County,328 E Main St,Amanda,OH,43102,(740)969-7253,Rural: Distant,No,326,18.00,18.11,–,–,3,Regular,Open
390468402672,9,12,Amanda-Clearcreek High School,Amanda-Clearcreek Local,Fairfield County,328 E Main St,Amanda,OH,43102,(740)969-7251,Rural: Distant,No,412,20.50,20.10,290,75,–,Regular,Open
390468400919,6,8,Amanda-Clearcreek Middle School,Amanda-Clearcreek Local,Fairfield County,328 E Main St,Amanda,OH,43102,(740)969-7252,Rural: Distant,No,355,19.00,18.68,–,–,3,Regular,Open
390468402673,PK,2,Amanda-Clearcreek Primary School,Amanda-Clearcreek Local,Fairfield County,414 N School St,Amanda,OH,43102,(740)969-7254,Rural: Distant,No,424,25.00,16.96,120,34,–,Regular,Open
390463502520,KG,5,Amelia Elementary School,West Clermont Local,Clermont County,5 E Main St,Amelia,OH,45102,(513)943-3800,Suburb: Large,No,675,33.18,20.34,173,60,–,Regular,Open
390459102381,PK,5,Amesville Elementary School,Federal Hocking Local,Athens County,PO Box 189,Amesville,OH,45711,(740)448-2501,Rural: Distant,No,219,16.00,13.69,–,–,112,Regular,Open
390498503714,KG,5,Amherst Elementary School,Jackson Local,Stark County,8750 Jane St NW,Massillon,OH,44646,(330)830-8024,Suburb: Large,No,480,23.49,20.43,140,32,–,Regular,Open
390451902119,6,8,Amherst Junior High School,Amherst Exempted Village,Lorain County,548 Milan Ave,Amherst,OH,44001,(440)988-0324,Suburb: Midsize,No,867,46.00,18.85,208,58,–,Regular,Open
390438500833,PK,6,Amity Elementary School,Deer Park Community City,Hamilton County,4320 E Galbraith Rd,Cincinnati,OH,45236,(513)891-5995,Suburb: Large,No,584,35.91,16.26,194,33,–,Regular,Open
390473402843,9,12,Anderson High School,Forest Hills Local,Hamilton County,7560 Forest Rd,Cincinnati,OH,45255,(513)232-2772,Suburb: Large,No,"1,215",70.30,17.28,116,31,–,Regular,Open
390437800418,PK,8,Andrew J Rickoff,Cleveland Municipal,Cuyahoga County,3500 E 147th St,Cleveland,OH,44120,(216)838-4150,City: Large,No,430,29.00,14.83,–,–,422,Regular,Open
390150205733,KG,8,Ann Jerkins-Harris Academy of Excellence,Ann Jerkins-Harris Academy of Excellence,Lucas County,3891 Martha Ave,Toledo,OH,43612,(877)644-6338,City: Large,Yes,110,8.25,13.33,–,–,66,Regular,Open
390470204349,6,8,Ann Simpson Davis Middle School,Dublin City,Franklin County,2400 Sutter Pkwy,Dublin,OH,43016,(614)761-5820,City: Large,No,810,55.00,14.73,207,38,–,Regular,Open
391000403682,KG,5,Anna Elementary School,Anna Local,Shelby County,PO Box 169,Anna,OH,45302,(937)394-2011,Rural: Distant,No,517,30.13,17.16,54,20,–,Regular,Open
391000403683,9,12,Anna High School,Anna Local,Shelby County,PO Box 169,Anna,OH,45302,(937)394-2011,Rural: Distant,No,309,20.22,15.28,41,12,–,Regular,Open
390443405465,PK,4,Anna Marie Ayers Elementary School,Martins Ferry City,Belmont County,5002 Ayers Lime Stone Rd,Martins,OH,43935,(740)633-1732,Suburb: Small,No,531,†,†,265,35,–,Regular,Open
391000404661,6,8,Anna Middle School,Anna Local,Shelby County,1 McRill Way,Anna,OH,45302,(937)394-4251,Rural: Distant,No,259,11.00,23.55,–,–,3,Regular,Open
390450401948,KG,5,Annehurst Elementary School,Westerville City,Franklin County,925 W Main St,Westerville,OH,43081,(614)797-7000,Suburb: Large,No,418,20.20,20.69,134,17,–,Regular,Open
390466202610,PK,6,Ansonia Elementary School,Ansonia Local,Darke County,PO Box 279,Ansonia,OH,45303,(937)337-5141,Rural: Distant,No,471,27.00,17.44,256,43,–,Regular,Open
390466202611,9,12,Ansonia High School,Ansonia Local,Darke County,PO Box 279,Ansonia,OH,45303,(937)337-5591,Rural: Distant,No,207,22.60,9.16,–,–,3,Regular,Open
390466202612,7,8,Ansonia Middle School,Ansonia Local,Darke County,PO Box 279,Ansonia,OH,45303,(937)337-5591,Rural: Distant,No,124,0.00,†,–,–,3,Regular,Open
390440000962,KG,6,Anthony Wayne Elementary School,Franklin City,Warren County,16 Farm Ave,Franklin,OH,45005,(937)743-8640,Suburb: Small,No,275,14.00,19.64,139,13,–,Regular,Open
390482003144,9,12,Anthony Wayne High School,Anthony Wayne Local,Lucas County,5967 Finzel Rd,Whitehouse,OH,43571,(419)877-0466,Suburb: Large,No,"1,324",52.00,25.46,118,34,–,Regular,Open
390482000849,7,8,Anthony Wayne Junior High School,Anthony Wayne Local,Lucas County,6035 Finzel Rd,Whitehouse,OH,43571,(419)877-5342,Suburb: Large,No,707,31.00,22.81,67,23,–,Regular,Open
390437800420,PK,9,Anton Grdina,Cleveland Municipal,Cuyahoga County,2955 E 71st St,Cleveland,OH,44104,(216)838-1150,City: Large,No,339,19.00,17.84,–,–,325,Regular,Open
390489903467,PK,5,Antwerp Local Elementary School,Antwerp Local,Paulding County,303 S. Harrmann Rd,Antwerp,OH,45813,(419)258-5421,Rural: Distant,No,348,23.00,15.13,–,–,3,Regular,Open
390489903468,9,12,Antwerp Local High School,Antwerp Local,Paulding County,303 S. Harrmann Rd,Antwerp,OH,45813,(419)258-5421,Rural: Distant,No,169,16.00,10.56,120,46,–,Regular,Open
390489904649,6,8,Antwerp Local Middle School,Antwerp Local,Paulding County,303 S. Harrmann Rd,Antwerp,OH,45813,(419)258-5421,Rural: Distant,No,155,9.00,17.22,–,–,3,Regular,Open
390030904846,KG,8,Apex Academy,Apex Academy,Cuyahoga County,16005 Terrace Rd,Cleveland,OH,44112,(216)451-1725,Suburb: Large,Yes,484,39.50,12.25,–,–,320,Regular,Open
390507704051,7,12,Apollo Career Center,Apollo,Allen County,3325 Shawnee Rd,Lima,OH,45806,(419)998-2908,Suburb: Small,No,824,63.14,13.05,–,–,3,Vocational,Open
390505803995,PK,6,Apple Creek Elementary School,Southeast Local,Wayne County,173 W Main St,Apple Creek,OH,44606,(330)698-3111,Rural: Distant,No,370,21.00,17.62,113,37,–,Regular,Open
390436600203,KG,5,Applewood Elementary School,Brunswick City,Medina County,3891 Applewood Dr,Brunswick,OH,44212,(330)273-0481,Suburb: Large,No,409,21.00,19.48,67,23,–,Regular,Open
390434806189,2,12,APS Online,Akron City,Summit County,10 N Main St,Akron,OH,44308,(330)761-2718,City: Midsize,No,335,0.00,†,–,–,3,Regular,Open
390439500915,KG,5,Arbor Elementary School,Euclid City,Cuyahoga County,20400 Arbor Avenue,Euclid,OH,44119,(216)797-6200,Suburb: Large,No,370,23.00,16.09,–,–,208,Regular,Open
391000202887,KG,6,Arcadia Elementary School,Arcadia Local,Hancock County,19033 State Route 12,Arcadia,OH,44804,(419)894-6431,Rural: Distant,No,296,17.56,16.86,–,–,3,Regular,Open
391000202888,9,12,Arcadia High School,Arcadia Local,Hancock County,19033 State Route 12,Arcadia,OH,44804,(419)894-6431,Rural: Distant,No,199,19.25,10.34,133,60,–,Regular,Open
391000205134,7,8,Arcadia Middle School,Arcadia Local,Hancock County,19033 State Route 12,Arcadia,OH,44804,(419)894-6431,Rural: Distant,No,99,2.00,49.50,–,–,3,Regular,Open
390466305949,PK,PK,Arcanum Early Learning Center,Arcanum-Butler Local,Darke County,310 N Main St,Arcanum,OH,45304,(937)692-5174,Rural: Distant,No,82,0.00,†,–,–,3,Regular,Open
390466302613,KG,4,Arcanum Elementary School,Arcanum-Butler Local,Darke County,2011 Trojan Ave,Arcanum,OH,45304,(937)692-5174,Rural: Distant,No,423,23.00,18.39,–,–,3,Regular,Open
390466302614,9,12,Arcanum High School,Arcanum-Butler Local,Darke County,2011 Trojan Ave,Arcanum,OH,45304,(937)692-5174,Rural: Distant,No,349,18.25,19.12,193,68,–,Regular,Open
390470402756,KG,4,Archbold Elementary School,Archbold-Area Local,Fulton County,500 Lafayette St,Archbold,OH,43502,(419)446-2727,Town: Distant,No,431,28.00,15.39,88,28,–,Regular,Open
390470402757,9,12,Archbold High School,Archbold-Area Local,Fulton County,600 Lafayette St,Archbold,OH,43502,(419)445-5579,Town: Distant,No,333,20.75,16.05,50,18,–,Regular,Open
390470402759,5,8,Archbold Middle School,Archbold-Area Local,Fulton County,306 Stryker St,Archbold,OH,43502,(419)446-2726,Town: Distant,No,392,19.70,19.90,68,15,–,Regular,Open
390449001769,KG,8,Arlington Elementary School,Toledo City,Lucas County,707 Woodsdale Ave,Toledo,OH,43609,(419)671-2550,City: Large,No,327,21.00,15.57,–,–,188,Regular,Open
390474202889,KG,6,Arlington Local Elementary School,Arlington Local,Hancock County,PO Box 260,Arlington,OH,45814,(419)365-5121,Rural: Distant,No,327,20.39,16.04,–,–,3,Regular,Open
390474202890,6,12,Arlington Local High School,Arlington Local,Hancock County,PO Box 260,Arlington,OH,45814,(419)365-5121,Rural: Distant,No,242,19.00,12.74,89,17,–,Regular,Open
390467601421,PK,5,Arrowhead Elementary School,Olentangy Local,Delaware County,2385 Hollenback Rd,Lewis Center,OH,43035,(740)657-4650,Suburb: Large,No,623,30.56,20.39,64,12,–,Regular,Open
390499803781,KG,4,Arrowhead Primary Elementary School,Copley-Fairlawn City,Summit County,1600 Raleigh Blvd,Copley,OH,44321,(330)664-4885,Rural: Fringe,No,394,20.62,19.11,47,9,–,Regular,Open
390451502054,KG,5,Arrowood Elementary,Xenia Community City,Greene County,1588 Pawnee Dr,Xenia,OH,45385,(937)372-9251,Suburb: Large,No,419,24.00,17.46,–,–,189,Regular,Open
390437800421,PK,8,Artemus Ward,Cleveland Municipal,Cuyahoga County,4315 W 140th St,Cleveland,OH,44135,(216)838-6200,City: Large,No,487,23.00,21.17,–,–,484,Regular,Open
390022304747,7,12,Arts & College Preparatory Academy,Arts & College Preparatory Academy,Franklin County,4401 Hilton Corporate Dr,Columbus,OH,43232,(614)986-9974,City: Large,Yes,483,†,†,174,43,–,Regular,Open
390438000632,6,8,Arts Impact Middle School (Aims),Columbus City Schools District,Franklin County,680 Jack Gibbs Blvd,Columbus,OH,43215,(614)365-5558,City: Large,No,532,33.00,16.12,–,–,301,Regular,Open
390469704299,KG,5,Asbury Elementary School,Groveport Madison Local,Franklin County,5127 Harbor Blvd,Columbus,OH,43232,(614)833-2000,Suburb: Large,No,485,23.00,21.09,274,56,–,Regular,Open
390135005447,7,12,Ashland County Community Academy,Ashland County Community Academy,Ashland County,716 Union St,Ashland,OH,44805,(419)903-0295,Town: Fringe,Yes,65,10.00,6.50,38,4,–,Regular,Open
390435000075,9,12,Ashland High School,Ashland City,Ashland County,1440 King Rd,Ashland,OH,44805,(419)289-7968,Town: Fringe,No,881,46.08,19.12,192,40,–,Regular,Open
390435000076,6,8,Ashland Middle School,Ashland City,Ashland County,1520 King Rd,Ashland,OH,44805,(419)289-7966,Town: Fringe,No,735,39.75,18.49,218,32,–,Regular,Open
390620404117,7,12,Ashland-W Holmes Career Center,Ashland County-West Holmes Joint Vocational School,Ashland County,1783 State Route 60,Ashland,OH,44805,(419)289-3313,Rural: Distant,No,359,36.00,9.97,102,31,–,Vocational,Open
390508104053,6,12,Ashtabula County Technical and Career Campus,Ashtabula County Technical and Career Center,Ashtabula County,1565 State Route 167,Jefferson,OH,44047,(440)576-6015,Rural: Fringe,No,580,54.00,10.74,207,45,–,Vocational,Open
390490903488,KG,5,Ashville Elementary School,Teays Valley Local,Pickaway County,90 Walnut St,Ashville,OH,43103,(740)983-5000,Town: Fringe,No,449,24.25,18.52,155,22,–,Regular,Open
390435200097,9,12,Athens High School,Athens City,Athens County,1 High School Rd,The Plains,OH,45780,(740)797-4521,Town: Distant,No,692,41.00,16.88,243,37,–,Regular,Open
390435200098,7,8,Athens Middle School,Athens City,Athens County,51 W State St - 55,Athens,OH,45701,(740)593-7107,Town: Distant,No,385,25.00,15.40,163,13,–,Regular,Open
390440100971,PK,5,Atkinson Elementary School,Fremont City,Sandusky County,1100 Delaware Ave,Fremont,OH,43420,(419)332-5361,Town: Distant,No,353,19.20,18.39,–,–,188,Regular,Open
390511604071,10,12,Auburn Vocational,Auburn,Lake County,8140 Auburn Rd,Painesville,OH,44077,(440)357-7542,Rural: Fringe,No,0,0.00,†,†,†,†,Vocational,Open
390049005200,6,12,Auglaize County Educational Academy,Auglaize County Educational Academy,Auglaize County,1045 Dearbaugh Ave Ste 3,Wapakoneta,OH,45895,(419)738-4572,Town: Fringe,Yes,89,6.93,12.84,–,–,3,Regular,Open
390491703512,9,12,Aurora High School,Aurora City,Portage County,109 W Pioneer Trl,Aurora,OH,44202,(330)562-3501,Suburb: Large,No,987,59.60,16.56,41,8,–,Regular,Open
390440501000,PK,5,Austinburg Elementary School,Geneva Area City,Ashtabula County,3030 State Route 307,Austinburg,OH,44010,(440)466-4831,Rural: Distant,No,223,15.40,14.48,82,12,–,Regular,Open
390482903193,PK,2,Austintown Elementary School,Austintown Local Schools,Mahoning County,245 Idaho Rd,Youngstown,OH,44515,(330)797-3900,Suburb: Large,No,976,56.00,17.43,502,73,–,Regular,Open
390482903190,3,5,Austintown Intermediate School,Austintown Local Schools,Mahoning County,225 IDAHO RD,Youngstown,OH,44515,(330)797-3900,Suburb: Large,No,917,47.00,19.51,451,96,–,Regular,Open
390482903187,6,8,Austintown Middle School,Austintown Local Schools,Mahoning County,800 S Raccoon Rd,Youngstown,OH,44515,(330)797-3900,Suburb: Large,No,984,51.00,19.29,494,81,–,Regular,Open
390002201520,4,12,Autism Model School,Autism Model School,Lucas County,3020 Tremainsville Rd,Toledo,OH,43613,(419)897-4400,City: Large,Yes,95,16.00,5.94,–,–,3,Special Education,Open
390438000584,KG,3,Avalon Elementary School,Columbus City Schools District,Franklin County,5220 Avalon Ave,Columbus,OH,43229,(614)365-5361,City: Large,No,375,20.00,18.75,–,–,188,Regular,Open
390470102743,KG,5,Avery Elementary School,Hilliard City,Franklin County,4388 Avery Rd,Hilliard,OH,43026,(614)921-5100,Suburb: Large,No,424,28.00,15.14,60,22,–,Regular,Open
390481103112,PK,KG,Avon Early Learning Center,Avon Local,Lorain County,3075 Stoney Ridge Rd,Avon,OH,44011,(440)934-5124,Suburb: Large,No,427,13.00,32.85,26,4,–,Regular,Open
390481103111,1,2,Avon East Elementary School,Avon Local,Lorain County,3100 Nagle Rd,Avon,OH,44011,(440)937-6015,Suburb: Large,No,644,30.00,21.47,75,17,–,Regular,Open
390481105137,3,5,Avon Heritage Elementary School,Avon Local,Lorain County,35575 Detroit Rd,Avon,OH,44011,(440)937-3055,Suburb: Large,No,972,44.70,21.74,106,20,–,Regular,Open
390481103110,9,12,Avon High School,Avon Local,Lorain County,37545 Detroit Rd,Avon,OH,44011,(440)934-6171,Suburb: Large,No,"1,456",61.58,23.64,114,14,–,Regular,Open
390481203113,9,12,Avon Lake High School,Avon Lake City,Lorain County,175 Avon Belden Rd,Avon Lake,OH,44012,(440)933-6290,Suburb: Large,No,"1,152",64.35,17.90,111,15,–,Regular,Open
390481101426,6,8,Avon Middle School,Avon Local,Lorain County,3445 Long Rd,Avon,OH,44011,(440)934-3800,Suburb: Large,No,"1,084",51.70,20.97,103,21,–,Regular,Open
390499303757,KG,4,Avondale Elementary School,Plain Local,Stark County,3933 Eaton Rd NW,Canton,OH,44708,(330)491-3720,Suburb: Large,No,257,13.99,18.37,91,29,–,Regular,Open
390438000585,PK,5,Avondale Elementary School,Columbus City Schools District,Franklin County,141 Hawkes Ave,Columbus,OH,43222,(614)365-6511,City: Large,No,240,16.00,15.00,–,–,179,Regular,Open
390473402845,KG,6,Ayer Elementary School,Forest Hills Local,Hamilton County,8471 Forest Rd,Cincinnati,OH,45255,(513)474-3811,Suburb: Large,No,609,31.37,19.41,64,10,–,Regular,Open
390467002625,KG,6,Ayersville Elementary School,Ayersville Local,Defiance County,28046 Watson Rd,Defiance,OH,43512,(419)395-1111,Rural: Fringe,No,358,23.60,15.17,–,–,3,Regular,Open
390467002626,7,12,Ayersville High School,Ayersville Local,Defiance County,28046 Watson Rd,Defiance,OH,43512,(419)395-1111,Rural: Fringe,No,346,19.40,17.84,117,40,–,Regular,Open
390483503220,KG,6,B L Miller Elementary School,Sebring Local,Mahoning County,506 W Virginia Ave,Sebring,OH,44672,(330)938-2025,Town: Fringe,No,157,10.00,15.70,–,–,76,Regular,Open
